1000 10000
97 306 26
293 500 43
658 955 44
181 196 40
884 750 71
10 734 23
80 479 31
418 74 19
742 655 31
750 687 66
361 194 17
391 649 18
368 381 50
572 627 28
823 902 21
218 458 84
812 972 89
309 816 100
9 293 43
162 581 14
628 412 64
611 139 66
643 275 28
425 636 75
325 343 31
826 183 79
758 908 45
265 278 10
356 508 42
31 270 58
37 425 59
407 832 8
303 776 50
170 562 13
734 398 51
586 191 23
397 515 79
317 133 38
590 863 26
768 5 7
242 859 53
313 426 93
231 799 20
716 887 34
188 897 80
104 933 72
26 353 44
695 885 91
537 903 41
943 686 2
708 67 79
974 836 49
840 859 49
776 267 15
954 493 21
943 501 70
480 46 63
921 717 31
442 988 47
600 422 76
525 477 70
454 729 100
598 290 59
222 58 52
168 609 87
328 835 63
187 31 78
489 701 5
114 678 15
156 898 44
964 604 66
85 753 33
273 971 20
377 665 2
710 431 64
276 337 28
465 998 58
981 852 85
759 387 80
676 750 81
170 117 67
340 622 74
344 778 33
722 39 98
353 303 23
455 523 29
886 814 84
988 65 37
891 230 62
734 216 97
867 456 12
621 167 49
208 277 48
156 72 83
970 922 27
371 830 65
186 411 4
203 786 5
135 36 13
982 209 30
638 452 60
374 696 66
736 836 74
501 897 54
934 427 17
927 756 52
122 207 98
54 999 13
161 94 57
448 60 55
214 482 58
437 211 80
115 373 69
443 202 63
621 287 76
693 985 9
251 31 4
183 940 60
471 239 40
921 285 71
716 416 36
283 706 57
690 507 88
452 192 63
712 718 68
19 992 41
611 100 45
228 907 21
749 585 36
340 447 67
919 570 16
466 249 73
752 222 23
541 375 78
972 186 64
208 233 67
325 863 40
646 459 48
843 400 82
551 975 19
444 110 90
589 388 24
575 720 20
395 558 8
836 545 58
720 146 56
597 691 81
928 83 14
931 980 25
769 853 7
178 717 64
122 534 27
902 315 60
323 301 73
623 427 58
30 335 57
611 607 25
129 305 28
462 867 49
122 324 73
371 550 9
583 234 73
529 356 94
865 758 77
390 121 21
877 807 67
786 580 20
196 717 29
148 408 71
152 633 30
163 216 17
299 47 98
439 117 74
498 191 80
239 407 60
935 529 25
183 661 94
403 254 19
41 136 31
540 287 62
139 176 99
688 326 82
466 114 22
35 383 8
963 777 28
655 430 20
202 824 86
79 837 86
65 0 76
740 59 50
752 788 49
281 210 9
82 123 81
27 413 83
742 762 35
884 931 59
671 880 21
923 496 98
243 790 44
342 754 65
619 363 64
334 0 96
500 283 84
300 444 56
409 728 52
801 177 20
405 677 98
826 34 80
273 788 34
849 636 48
238 955 88
523 140 92
829 238 22
556 399 56
883 481 35
419 968 27
788 928 51
612 665 88
582 462 74
600 632 19
809 788 82
477 194 83
677 716 27
684 853 25
797 478 23
327 641 27
149 969 23
493 896 75
521 422 72
85 723 12
1 780 52
334 940 99
988 337 32
463 746 84
851 660 28
683 988 67
42 638 28
103 201 62
266 119 87
94 657 81
968 398 57
405 379 83
481 184 77
513 339 85
224 97 62
319 181 51
550 465 7
929 982 86
61 110 20
911 401 54
999 514 34
663 513 28
601 803 43
724 534 36
277 483 21
551 766 91
999 164 3
993 611 74
558 843 26
517 5 89
126 648 8
163 62 98
833 117 83
396 843 54
875 223 58
302 328 56
803 41 51
49 966 94
874 968 36
570 926 2
266 98 19
358 221 10
732 990 90
858 149 45
549 193 34
982 974 69
223 354 29
382 619 7
253 82 56
664 694 81
317 449 23
135 865 69
605 125 27
324 79 9
626 675 62
393 572 76
