1001 10000
347 480 24
526 713 40
228 456 10
261 208 84
472 274 47
875 639 88
44 467 83
979 400 66
534 954 97
913 111 43
782 538 53
662 30 92
796 447 56
346 238 59
264 90 38
332 568 82
909 836 3
646 140 31
344 656 65
695 354 38
507 273 28
295 401 90
380 886 60
128 204 99
991 211 38
942 921 24
151 944 83
412 28 97
843 228 82
572 458 78
130 731 56
995 906 59
215 748 71
73 965 78
191 961 18
737 38 18
927 300 11
347 754 65
20 637 80
247 213 28
574 138 25
459 426 80
641 967 65
147 4 13
912 911 13
687 193 82
926 728 18
443 563 34
962 27 53
463 673 16
63 804 77
833 287 15
889 281 68
501 850 97
92 238 24
985 687 66
605 838 75
314 437 62
459 29 46
890 865 41
571 222 57
925 71 36
86 407 76
436 472 49
887 144 30
198 179 90
478 722 59
875 940 78
380 497 97
809 800 43
887 513 9
404 821 99
155 720 72
340 216 87
157 284 65
551 872 87
961 768 18
936 466 52
796 619 3
835 693 79
161 576 89
97 775 94
235 136 80
800 572 82
135 677 55
205 136 64
775 655 58
443 234 88
696 305 74
153 483 83
849 637 68
922 57 57
533 638 24
469 822 26
738 282 97
468 347 37
511 995 33
294 18 81
506 65 34
721 461 14
29 476 16
834 751 35
877 267 61
230 989 8
863 568 75
707 495 35
586 368 69
315 831 25
879 358 65
399 751 93
487 986 54
163 154 69
215 489 7
113 972 83
403 150 88
341 954 51
509 40 23
569 78 62
621 993 19
126 164 62
918 636 66
412 330 4
398 539 24
282 424 78
827 718 97
523 54 22
379 329 19
246 584 57
216 576 78
651 829 25
846 872 42
572 880 99
899 55 51
940 672 87
609 557 89
306 699 87
91 982 52
87 520 92
954 197 59
296 394 58
642 600 72
819 405 35
204 538 100
902 132 47
919 591 9
881 43 93
411 686 91
602 729 34
72 726 72
898 168 53
105 62 38
739 275 67
72 828 26
167 385 53
320 104 4
150 471 52
835 93 52
538 196 73
290 512 99
796 3 92
378 86 10
845 213 44
966 730 6
621 664 77
339 44 39
813 453 86
154 790 58
755 919 88
554 586 100
1 590 73
28 801 91
193 373 13
100 863 81
752 169 47
243 101 58
513 668 38
180 245 52
990 219 41
874 776 45
965 457 2
262 513 19
554 262 88
260 632 34
115 505 24
492 144 69
805 61 27
178 816 74
404 164 28
365 877 27
733 183 47
338 954 78
45 244 17
886 164 26
475 257 83
765 297 85
831 152 85
550 866 14
685 339 96
822 342 84
197 699 19
535 927 2
387 74 54
339 25 53
781 844 14
419 155 51
116 264 97
202 261 15
223 763 42
675 228 30
579 656 37
403 642 93
486 818 65
132 692 29
465 783 52
506 199 67
746 983 99
313 37 11
818 996 66
272 6 14
885 356 26
294 554 40
140 0 60
155 851 13
410 895 56
180 805 87
321 569 38
730 732 30
137 759 83
505 983 16
365 477 23
88 537 86
807 1000 91
370 144 96
571 264 37
200 497 22
976 510 19
368 546 67
678 9 84
998 138 69
524 634 40
669 673 11
638 629 78
268 528 71
471 490 69
910 765 24
99 187 43
773 240 73
493 83 29
805 126 79
523 213 78
16 291 27
716 86 98
305 590 96
823 301 91
216 318 2
190 295 27
522 622 44
800 689 45
613 196 59
781 22 85
94 137 77
685 142 42
221 249 27
668 426 91
0 551 67
384 690 52
821 994 58
99 939 56
996 545 53
851 884 26
805 790 63
479 871 48
159 406 82
531 30 68
125 890 51
98 572 54
251 223 70
260 587 95
743 351 34
781 201 45
106 330 39
80 537 55
783 121 11
569 726 9
22 126 14
445 200 69
405 176 12
351 812 10
896 156 77
719 343 54
693 651 25
498 486 4
269 927 4
662 382 9
681 366 93
483 586 47
385 767 58
267 214 34
659 561 98
250 922 85
621 495 23
647 470 82
306 195 8
307 917 29
58 462 27
32 441 75
722 960 75
194 802 98
102 259 68
380 852 41
697 703 83
44 815 67
876 79 59
784 393 16
120 418 49
529 847 75
239 817 84
535 325 58
758 711 98
524 246 7
938 911 63
876 931 67
39 242 13
166 400 94
673 312 99
355 151 30
298 475 31
635 595 33
778 50 36
44 155 49
933 237 49
784 327 69
0 31 55
971 450 60
133 234 52
583 964 8
707 843 98
772 360 42
407 351 98
250 256 51
913 83 30
133 19 2
525 932 31
91 14 26
318 644 30
681 731 54
222 445 96
905 761 52
658 411 31
128 89 88
539 475 72
774 190 32
773 945 41
531 578 67
905 995 2
895 252 93
299 176 83
690 453 65
157 1000 43
738 915 27
278 381 46
894 351 21
899 230 30
453 950 35
852 819 80
779 56 88
751 65 93
324 262 53
247 450 24
764 98 22
402 11 10
561 281 56
394 368 27
246 375 100
545 698 55
645 238 72
859 474 31
973 768 65
127 899 10
514 435 54
963 231 66
819 990 81
414 549 59
861 799 55
61 926 25
368 531 100
502 998 58
406 617 65
157 721 80
16 801 48
79 276 4
224 175 98
244 967 55
866 611 69
736 436 72
274 808 73
315 702 34
706 656 10
455 650 31
108 505 40
951 956 50
565 248 62
657 983 9
731 206 9
696 173 87
470 631 46
356 635 3
99 414 98
738 913 42
676 285 38
914 784 27
779 72 58
360 954 21
664 526 6
712 50 4
391 449 79
488 797 75
801 81 95
957 536 42
954 239 47
941 434 69
548 966 56
27 576 35
606 400 80
46 713 80
81 3 9
167 421 67
8 916 41
211 550 91
769 819 46
755 881 54
879 635 97
960 366 56
538 481 95
373 570 100
301 536 51
827 317 49
43 973 11
897 551 19
395 61 10
824 995 10
614 974 33
656 895 28
410 645 75
634 261 94
278 207 80
993 261 20
958 242 29
541 219 56
951 738 35
572 771 42
586 746 92
751 537 57
819 497 80
553 581 25
437 560 26
385 932 76
424 952 16
571 594 71
648 434 10
839 75 24
928 757 61
681 864 57
535 484 46
145 938 43
721 87 60
552 218 100
424 566 30
29 729 48
909 259 41
78 227 95
766 984 4
783 495 20
182 814 31
830 695 61
599 805 52
404 627 32
900 674 85
132 293 4
356 263 39
717 859 28
17 838 68
811 517 46
58 725 15
193 256 29
510 721 84
528 469 61
997 493 78
244 496 8
522 724 17
608 942 78
977 393 93
316 561 86
774 854 87
941 209 4
270 184 55
449 239 71
260 833 98
492 810 14
567 303 24
860 111 91
430 129 41
556 573 48
234 955 6
315 109 65
47 391 67
803 357 36
864 476 60
899 190 41
366 959 12
229 268 72
936 848 81
295 256 64
199 908 59
653 298 96
258 950 84
251 908 91
896 287 29
375 23 4
760 535 36
292 61 11
542 832 93
384 694 26
464 469 9
490 881 13
904 97 45
434 157 96
278 802 73
119 43 51
429 499 14
83 351 68
957 460 98
309 772 7
113 444 84
351 199 36
663 339 71
838 966 48
145 332 24
600 946 23
170 205 16
320 339 67
441 783 1
257 975 86
942 371 49
207 1000 53
127 782 72
995 202 91
96 31 60
213 123 97
885 395 59
765 433 44
95 103 39
466 751 27
34 814 37
642 136 61
537 528 44
628 84 94
946 45 78
894 65 62
826 774 9
491 350 26
662 855 46
75 367 46
469 798 39
724 737 62
293 606 18
959 175 2
81 485 50
235 475 48
326 500 20
828 196 39
984 138 16
242 645 10
877 294 42
852 64 53
258 699 78
38 170 97
632 435 67
484 981 50
327 755 44
830 270 64
931 52 75
14 140 46
175 771 6
526 591 28
839 442 61
478 783 42
462 210 49
534 784 76
437 765 45
357 773 27
429 517 88
13 264 99
274 441 11
598 985 57
870 286 58
280 843 29
309 747 1
172 829 58
575 966 83
88 315 69
577 270 35
767 741 40
810 868 83
536 861 32
124 641 3
369 530 9
840 738 8
942 330 40
598 93 65
704 935 69
398 673 14
52 217 74
982 379 80
953 147 90
668 455 12
935 223 14
498 152 64
404 33 27
792 291 50
625 592 2
989 151 17
883 162 50
856 38 4
860 519 92
517 438 25
424 126 15
337 766 77
763 904 42
13 173 52
242 969 70
60 302 30
289 780 60
623 855 85
474 672 21
795 224 1
945 809 95
5 429 15
146 987 32
769 713 75
891 880 17
706 804 94
473 319 58
319 875 24
969 221 85
364 635 71
941 591 97
208 692 32
864 561 39
809 433 28
307 339 44
451 515 74
691 15 93
664 233 36
111 194 9
692 207 29
705 725 54
29 942 72
300 915 52
927 645 67
41 396 8
337 474 41
491 468 1
418 565 59
446 140 88
262 561 34
223 22 38
664 914 59
603 111 57
288 271 84
323 43 72
972 19 9
410 907 24
818 970 37
706 531 53
888 786 13
751 288 51
492 828 30
919 736 99
254 420 75
449 166 76
187 404 7
930 802 94
858 299 2
7 338 44
923 150 73
316 423 26
674 584 69
205 44 60
331 806 34
904 813 79
302 202 85
491 381 83
699 967 70
381 576 74
780 335 30
770 640 77
653 100 47
764 17 54
769 938 18
26 85 18
941 265 23
282 734 20
362 318 36
678 157 30
898 568 20
610 560 98
213 646 24
665 235 80
11 56 45
612 205 79
916 575 65
366 944 13
643 386 79
465 197 74
959 467 27
142 911 41
214 576 12
403 809 94
496 346 99
434 749 83
904 380 36
55 466 77
547 487 61
537 809 2
881 80 70
445 541 61
11 53 76
609 964 56
292 340 1
990 663 87
302 266 96
483 228 94
566 899 1
50 762 38
728 162 62
737 517 26
790 184 15
602 791 79
811 698 5
679 950 43
640 797 19
476 885 70
174 420 84
657 104 3
654 374 88
556 864 69
802 369 48
700 108 66
51 583 36
94 192 60
176 478 2
946 470 92
302 744 30
78 122 6
541 964 50
814 56 5
781 153 63
414 242 76
557 198 62
182 546 37
407 814 78
523 512 39
747 40 59
978 188 71
835 82 22
635 942 100
554 140 69
899 962 33
54 649 41
332 799 3
292 150 61
556 579 94
126 893 79
478 424 95
893 822 50
79 341 53
946 724 60
427 173 41
321 214 51
274 503 27
